Descrição,Fornecedor,Data,Valor,Centro de Custo,Conta
INTEGR.CAPITAL SUBSCRITO,,12/02/2026,"-R$20,00",Tarifa de Conta Corrente,Compras - Sicredi - 35220-1
PAGAMENTO PIX 22368937000157 INOVA SOLUCOES EM T,,12/02/2026,"-R$30,00",Despesas Administrativas,Compras - Sicredi - 35220-1
Vendas cartão,,12/02/2026,"R$345,00 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,12/02/2026,"R$24,80 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Vendas cartão,,12/02/2026,"R$733,12 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,12/02/2026,"R$137,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,12/02/2026,"R$1.131,84 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,12/02/2026,"R$77,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Internet Vivo - Loja Ahu,,12/02/2026,"-R$125,01",Internet,Loja Ahu - Itaú - 98608-0
Pagamento Uva,Uva,12/02/2026,"R$75,68 ",Vendas Food Service,Compras - Inter - 23631657-5
Matéria Prima,Casa do Confeiteiro,12/02/2026,"-R$320,00",Fábrica,Caixa Dinheiro
DEB.CTA.FATURA,,13/02/2026,"-R$200,52",Despesas Marketing,Compras - Sicredi - 35220-1
Vendas cartão,,13/02/2026,"R$735,70 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,13/02/2026,"R$164,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,13/02/2026,"R$406,37 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,13/02/2026,"R$83,50 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Vendas cartão,,13/02/2026,"R$898,99 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,13/02/2026,"R$60,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO CASSIA FERNANDA ALMEIDA DO CARMO,,13/02/2026,"-R$89,93",Taxa,Loja Ahu - Itaú - 98608-0
BOLETO PAGO BENEFICIO SO,,13/02/2026,"-R$465,50",Taxa Sindicato,Loja Ahu - Itaú - 98608-0
BOLETO PAGO COPEL-DIS,Copel,13/02/2026,"-R$569,40",Luz,Loja Ahu - Itaú - 98608-0
Compra no débito Jullye Frutas Insumos,Jullye Frutas,13/02/2026,"-R$51,96",Fábrica,Compras - Inter - 23631657-5
Compra no débitoPophouse Insumos,Pop House,13/02/2026,"-R$217,80",Fábrica,Compras - Inter - 23631657-5
Compra no débitoConfeitop Insumos,Confeitop,13/02/2026,"-R$224,90",Fábrica,Compras - Inter - 23631657-5
Compra no débitoCia Da Verdura Insumos,Cia da Verdura,13/02/2026,"-R$90,45",Fábrica,Compras - Inter - 23631657-5
Compra no débitoPhoenix Auto Posto Ltd Curitiba BraTransporte,Phoenix Auto Posto,14/02/2026,"-R$257,34",Gasolina,Compras - Inter - 23631657-5
Morango,Jullye Frutas,14/02/2026,"-R$7,99",Loja,Caixa Dinheiro
Pro labore Henrique,,15/02/2026,"-R$2.500,00",Pro Labore,Compras - Sicredi - 35220-1
Pro labore Marina,,15/02/2026,"-R$2.500,00",Pro Labore,Compras - Sicredi - 35220-1
Transferência entre contas,,15/02/2026,"R$5.000,00 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
Insumos Fábrica,Assaí Atacadista (reembolso Marina),17/02/2026,"-R$506,05",Fábrica,Compras - Inter - 23631657-5
Banana p/ mkt,Jullye Frutas,17/02/2026,"-R$4,19",Loja,Caixa Dinheiro
Bebidas,Condor,17/02/2026,"-R$200,40",Loja,Caixa Dinheiro
Insumos Fábrica,SLM Casa do Confeiteiro,18/02/2026,"-R$263,10",Fábrica,Compras - Inter - 23631657-5
Insumos Fábrica,Rei do Queijo,18/02/2026,"-R$485,40",Fábrica,Compras - Inter - 23631657-5
Manutenção Equipamentos,Ezequiel (Geladeira),18/02/2026,"-R$850,00",Equipamentos,Compras - Inter - 23631657-5
Insumos Fábrica - Frete,Intracargo Transportes,18/02/2026,"-R$81,56",Fábrica,Compras - Inter - 23631657-5
Bebidas,Coca cola,18/02/2026,"-R$474,36",Loja,Loja Ahu - Itaú - 98608-0
Bebidas e frutas,Muffato,18/02/2026,"-R$44,19",Loja,Caixa Dinheiro
Vendas cartão,,18/02/2026,"R$371,62 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,18/02/2026,"R$66,72 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Aluguel máquina de café,Astoria,18/02/2026,"-R$533,75",Aluguel de Equipamentos,Loja Batel - Itaú - 98553-8
Aluguel máquina de café,Astoria,18/02/2026,"-R$550,00",Aluguel de Equipamentos,Loja Batel - Itaú - 98553-8
Aluguel máquina de café,Astoria,18/02/2026,"-R$550,00",Aluguel de Equipamentos,Loja Batel - Itaú - 98553-8
REND PAGO APLIC AUT APR,,18/02/2026,"R$0,03 ",Rendimentos de Aplicações,Loja Batel - Itaú - 98553-8
Vendas cartão,,18/02/2026,"R$5.591,55 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,18/02/2026,"R$1.092,60 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO TIELLY KAUANI DA SILVA JORGE,,18/02/2026,"-R$288,00",Vale Transporte,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO TANIA MARA DA SILVA,,18/02/2026,"-R$180,00",Limpeza,Loja Alto XV - Itaú - 98554-6
BOLETO PAGO PLUXEE BENEF,Pluxee,18/02/2026,"-R$250,00",Vale Alimentação,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,18/02/2026,"-R$2.500,00",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,18/02/2026,"R$11.864,55 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,18/02/2026,"R$1.114,70 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO CASSIA FERNANDA ALMEIDA DO CARMO,,18/02/2026,"-R$72,00",Vale Transporte,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ANA KAROLINA BERGAMASCHI PINHEIRO,,18/02/2026,"-R$112,00",Taxa,Loja Ahu - Itaú - 98608-0
Matéria prima Bebidas,,18/02/2026,"-R$21,36",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ANNA BEATRIZ MOTA PONIATOWSKI BELLO,,18/02/2026,"-R$1.062,12",Salário,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ANA KAROLINA BERGAMASCHI PINHEIRO,,18/02/2026,"-R$112,00",Taxa,Loja Ahu - Itaú - 98608-0
BOLETO PAGO COPEL-DIS,Copel,18/02/2026,"-R$1.888,41",Luz,Loja Ahu - Itaú - 98608-0
BOLETO PAGO COPEL-DIS,Copel,18/02/2026,"-R$1.220,96",Luz,Loja Ahu - Itaú - 98608-0
PIX ENVIADO NIVALDO GERALDO DOS SANTOS,,18/02/2026,"-R$400,00",Jardinagem,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ANA KAROLINA BERGAMASCHI PINHEIRO,,18/02/2026,"-R$112,00",Taxa,Loja Ahu - Itaú - 98608-0
1x bdj de morango,Jullye Frutas,18/02/2026,"-R$3,99",Loja,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,18/02/2026,"-R$5.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
BOLETO PAGO MILK CREAMER,Milk,18/02/2026,"-R$482,82",Compra de Sorvete,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,18/02/2026,"-R$181,13",Fábrica,Compras - Inter - 23631657-5
Matéria prima,Cia da Verdura,18/02/2026,"-R$171,09",Fábrica,Compras - Inter - 23631657-5
Transferência entre contas,Pix recebido,18/02/2026,"R$2.500,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Vendas cartão,,19/02/2026,"R$273,84 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,19/02/2026,"R$45,54 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Vendas cartão,,19/02/2026,"R$1.173,38 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,19/02/2026,"R$164,80 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,19/02/2026,"R$1.269,59 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,19/02/2026,"R$50,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Insumos,Davipan,19/02/2026,"-R$671,80",Fábrica,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,19/02/2026,"-R$2.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,19/02/2026,"-R$500,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,19/02/2026,"R$0,05 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,19/02/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Matéria prima,Merca Fruty,19/02/2026,"-R$122,00",Fábrica,Compras - Inter - 23631657-5
Vendas Food Service,Coin,19/02/2026,"R$104,13 ",Vendas Food Service,Compras - Inter - 23631657-5
Transferência entre contas,,19/02/2026,"R$500,00 ",Transf. Entre Contas,Compras - Sicredi - 35220-1
Insumos,Marmikok,19/02/2026,"-R$383,90",Loja,Compras - Sicredi - 35220-1
troco p/ loja,,19/02/2026,"-R$250,00",Transf. Entre Contas,Caixa Dinheiro
Vendas cartão,,20/02/2026,"R$285,93 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Transferência entre contas,,20/02/2026,"-R$1.826,74",Transf. Entre Contas,Loja Batel - Itaú - 98553-8
REND PAGO APLIC AUT APR,,20/02/2026,"R$0,03 ",Rendimentos de Aplicações,Loja Batel - Itaú - 98553-8
Vendas cartão,,20/02/2026,"R$574,78 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,20/02/2026,"-R$13.264,77",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,20/02/2026,"R$0,21 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,20/02/2026,"R$1.231,85 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,20/02/2026,"R$113,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,20/02/2026,"R$1.826,74 ",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,20/02/2026,"R$13.264,77 ",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/02/2026,"-R$10,40",Despesas Administrativas,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,20/02/2026,"-R$578,86",ERP,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,20/02/2026,"-R$438,65",ERP,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,20/02/2026,"-R$578,86",ERP,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/02/2026,"-R$822,28",FGTS,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/02/2026,"-R$968,68",Simples Nacional - DAS,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/02/2026,"-R$823,53",INSS,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/02/2026,"-R$188,20",Água,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/02/2026,"-R$100,00",Gasolina,Loja Ahu - Itaú - 98608-0
Projeto Anvisa,Inovali,20/02/2026,"-R$970,00",Fábrica,Compras - Inter - 23631657-5
Tarifa conta,,20/02/2026,"-R$99,90",Tarifa de Conta Corrente,Compras - Sicredi - 35220-1
Vendas cartão,,23/02/2026,"R$94,47 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,23/02/2026,"R$38,68 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Vendas cartão,,23/02/2026,"R$1.803,81 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,23/02/2026,"R$102,50 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,23/02/2026,"R$3.416,52 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,23/02/2026,"R$191,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO CASSIA FERNANDA ALMEIDA DO CARMO,,23/02/2026,"-R$96,00",Taxa,Loja Ahu - Itaú - 98608-0
Morango e banana,Jullye frutas,23/02/2026,"-R$5,45",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO MARIA VICTORIA RIGLER ALVES,,23/02/2026,"-R$112,00",Taxa,Loja Ahu - Itaú - 98608-0
BOLETO PAGO BANCO C6 S.A,,23/02/2026,"-R$44,74",Despesas Administrativas,Loja Ahu - Itaú - 98608-0
Insumos,Ifood,23/02/2026,"-R$627,99",Fábrica,Compras - Inter - 23631657-5
Insumos,Balaroti,23/02/2026,"-R$82,32",Utensílios,Compras - Inter - 23631657-5
Vendas cartão,,24/02/2026,"R$139,12 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas pix,,24/02/2026,"R$11,88 ",Vendas Loja - Pix,Loja Batel - Itaú - 98553-8
Vendas cartão,,24/02/2026,"R$176,85 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,24/02/2026,"R$74,50 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,24/02/2026,"R$462,97 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,24/02/2026,"R$19,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,24/02/2026,"-R$2.500,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
Matéria prima,Malagoli,24/02/2026,"-R$319,60",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Milk Creamer,24/02/2026,"-R$1.054,51",Compra de Sorvete,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,24/02/2026,"R$0,11 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Insumos,Condor,24/02/2026,"-R$365,88",Fábrica,Compras - Inter - 23631657-5
Insumos,Feito Chocolate,24/02/2026,"-R$448,40",Fábrica,Compras - Inter - 23631657-5
Transferência entre contas,Pix recebido,24/02/2026,"R$2.500,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Vendas cartão,,25/02/2026,"R$34,71 ",Vendas Loja - Cartão,Loja Batel - Itaú - 98553-8
Vendas cartão,,25/02/2026,"R$487,89 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,25/02/2026,"R$73,60 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,25/02/2026,"R$600,83 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,25/02/2026,"R$176,50 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Compra matéria prima,Condor,25/02/2026,"-R$3,57",Loja,Compras - Inter - 23631657-5
Compra matéria prima,Pop House,25/02/2026,"-R$279,81",Fábrica,Compras - Inter - 23631657-5
Transferência recebidaIfood.com Agencia De Restaurantes,,25/02/2026,"R$13,95 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,25/02/2026,"R$13,95 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Vendas cartão,,26/02/2026,"R$277,31 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,26/02/2026,"R$44,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,26/02/2026,"R$665,31 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,26/02/2026,"R$70,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Fita isolante,Sidmar eletro,26/02/2026,"-R$5,60",Manutenção,Loja Ahu - Itaú - 98608-0
Galão de Água,YB Distribuidora,26/02/2026,"-R$18,00",Loja,Loja Ahu - Itaú - 98608-0
Urbs,URBS,26/02/2026,"-R$700,92",Vale Transporte,Loja Ahu - Itaú - 98608-0
Metrocard,Metrocard,26/02/2026,"-R$353,50",Vale Transporte,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PLUXEE BENEF,Pluxee,26/02/2026,"-R$2.329,00",Vale Alimentação,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,26/02/2026,"R$0,04 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Vendas cartão,,27/02/2026,"R$679,32 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,27/02/2026,"R$177,80 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,27/02/2026,"R$492,24 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,27/02/2026,"R$102,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas Dinheiro,,28/02/2026,"R$3.048,00 ",Vendas Loja - Dinheiro,Caixa Dinheiro
Ajuste de caixa,,28/02/2026,"R$0,01 ",Ajuste de Caixa,Caixa Dinheiro
troco p/ loja,,28/02/2026,"-R$250,00",Transf. Entre Contas,Caixa Dinheiro
Transferência entre contas,,06/02/2026,"-R$2.208,12",Transf. Entre Contas,Poupança - Sicredi - 35220-1
Vendas cartão,,02/03/2026,"R$2.395,10 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,02/03/2026,"R$375,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,02/03/2026,"R$7.118,66 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,02/03/2026,"R$344,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,02/03/2026,"-R$111,34",Vale Alimentação,Loja Ahu - Itaú - 98608-0
Gasolina,Posto,02/03/2026,"-R$100,00",Gasolina,Loja Ahu - Itaú - 98608-0
Compra Insumos,Circuito,02/03/2026,"-R$26,94",Compra de Material de Limpeza,Loja Ahu - Itaú - 98608-0
PIX ENVIADO YUDI GABRIEL TAHIRA BOMFIM,,02/03/2026,"-R$24,00",Despesas Administrativas,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ENDRYW GABRIEL LINO DE SOUZA,,02/03/2026,"-R$96,00",Vale Transporte,Loja Ahu - Itaú - 98608-0
Aluguel Loja ahu,,02/03/2026,"-R$3.176,00",Aluguel,Loja Ahu - Itaú - 98608-0
Compra Insumos,Magalu,02/03/2026,"-R$194,85",Fábrica,Compras - Inter - 23631657-5
Compra Insumos,Seleção de peças,02/03/2026,"-R$47,94",Equipamentos,Compras - Inter - 23631657-5
Compra Insumos,Marchi,02/03/2026,"-R$504,04",Fábrica,Compras - Inter - 23631657-5
Compra Insumos,Acrílico Store,02/03/2026,"-R$106,93",Utensílios,Compras - Inter - 23631657-5
Compra Insumos,Shopee,02/03/2026,"-R$17,80",Fábrica,Compras - Inter - 23631657-5
Compra equipamentos,Mercado livre,02/03/2026,"-R$86,03",Equipamentos,Compras - Inter - 23631657-5
Compra  Insumos,Festval,02/03/2026,"-R$10,98",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,03/03/2026,"R$489,73 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,03/03/2026,"R$162,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,03/03/2026,"R$776,03 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,03/03/2026,"R$109,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Insumos,,03/03/2026,"-R$56,52",Fábrica,Loja Ahu - Itaú - 98608-0
Bombeiros,,03/03/2026,"-R$137,32",Taxas e Guias,Loja Ahu - Itaú - 98608-0
Matéria prima,Cassineli,03/03/2026,"-R$603,00",Loja,Loja Ahu - Itaú - 98608-0
Insumos,Mercado livre,03/03/2026,"-R$104,09",Fábrica,Compras - Inter - 23631657-5
Insumos,Gold,03/03/2026,"-R$229,90",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,04/03/2026,"R$763,99 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,04/03/2026,"R$73,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,Pix enviado,04/03/2026,"-R$6.000,00",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,04/03/2026,"R$0,09 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,04/03/2026,"R$838,00 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,04/03/2026,"R$62,10 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Morango e banana,Jullye Frutas,04/03/2026,"-R$5,56",Loja,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Coca Cola,04/03/2026,"-R$208,32",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ARIELLE KEVILLYN SANT ANNA,,04/03/2026,"-R$1.451,75",Salário,Loja Ahu - Itaú - 98608-0
PIX ENVIADO TIELLY KAUANI DA SILVA JORGE,,04/03/2026,"-R$1.457,43",Salário,Loja Ahu - Itaú - 98608-0
Aluguel Loja Batel,,04/03/2026,"-R$6.000,00",Aluguel,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,04/03/2026,"R$0,23 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Transferência entre contas,Pix recebido,04/03/2026,"R$6.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,Ifood,04/03/2026,"R$22,28 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Vendas cartão,,05/03/2026,"R$464,25 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,05/03/2026,"R$111,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,05/03/2026,"R$1.023,96 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,05/03/2026,"R$74,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Papelaria,05/03/2026,"-R$23,90",Despesas Administrativas,Loja Ahu - Itaú - 98608-0
Aluguel Loja Alto da XV,,05/03/2026,"-R$5.348,15",Aluguel,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PROGUARD SER,,05/03/2026,"-R$161,25",Segurança,Loja Ahu - Itaú - 98608-0
BOLETO PAGO Bwu Cont,,05/03/2026,"-R$1.247,00",Contador,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PROGUARD SER,,05/03/2026,"-R$161,25",Segurança,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,05/03/2026,"-R$380,00",Contador,Loja Ahu - Itaú - 98608-0
PIX ENVIADO OLIVEIRA & OLIVEIRA SOCIEDADE DE,,05/03/2026,"-R$1.000,00",Salário,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Sanepar,05/03/2026,"-R$101,77",Água,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Sanepar,05/03/2026,"-R$99,42",Água,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,Sanepar,05/03/2026,"-R$99,42",Água,Loja Ahu - Itaú - 98608-0
Insumos,Spal,05/03/2026,"-R$195,12",Loja,Loja Ahu - Itaú - 98608-0
Cartão de crédito - facebook ads,,05/03/2026,"-R$147,25",Despesas Marketing,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,05/03/2026,"R$0,20 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Compra no débitoCia Da Verdura Curitiba BraAlimentação,Cia da Verdura,05/03/2026,"-R$63,66",Fábrica,Compras - Inter - 23631657-5
Boleto de cobrança recebidoCoin Bistro E Bebidas LtdaVendas,Coin,05/03/2026,"R$46,64 ",Vendas Food Service,Compras - Inter - 23631657-5
Boleto de cobrança recebidoUva & AlmaVendas,Uva,05/03/2026,"R$49,37 ",Vendas Food Service,Compras - Inter - 23631657-5
Matéria prima,Pop House,06/03/2026,"-R$261,37",Fábrica,Caixa Dinheiro
Insumos,Distribuidora Povão,06/03/2026,"-R$17,98",Loja,Caixa Dinheiro
Insumos,Lactos Minas,06/03/2026,"-R$65,94",Loja,Caixa Dinheiro
Matéria prima,Cia da Verdura,06/03/2026,"-R$15,93",Loja,Caixa Dinheiro
Vendas cartão,,06/03/2026,"R$816,93 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,06/03/2026,"R$84,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,06/03/2026,"-R$3.616,45",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,06/03/2026,"R$0,02 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,06/03/2026,"R$1.355,41 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,06/03/2026,"R$131,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Marmikok,06/03/2026,"-R$138,60",Fábrica,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,06/03/2026,"-R$176,10",Loja,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,06/03/2026,"R$3.616,45 ",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ENDRYW GABRIEL LINO DE SOUZA,,06/03/2026,"-R$1.294,62",Salário,Loja Ahu - Itaú - 98608-0
PIX ENVIADO CASSIA FERNANDA ALMEIDA DO CARMO,,06/03/2026,"-R$843,51",Salário,Loja Ahu - Itaú - 98608-0
PIX ENVIADO LIDIANE DA SILVA DE ALCANTARA,,06/03/2026,"-R$1.447,80",Salário,Loja Ahu - Itaú - 98608-0
PIX ENVIADO STHEFANI ALVES DE FRANCA,,06/03/2026,"-R$1.709,15",Salário,Loja Ahu - Itaú - 98608-0
BOLETO PAGO COPEL-DIS,Copel,06/03/2026,"-R$170,13",Luz,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,06/03/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,06/03/2026,"-R$6.000,00",Transf. Entre Contas,Compras - Inter - 23631657-5
Vendas cartão,,09/03/2026,"R$3.312,11 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,09/03/2026,"R$302,80 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
