Sanduíche de Pernil - 1un,24/08/2023,Cassinelli,"6,000","R$ 8,50"
Fanta Guaraná - Lata - (350ml),28/08/2023,Lacto Minas,"2,000","R$ 3,25"
Chá Matte Leao Limão - Copo - (300ml),28/08/2023,Lacto Minas,"2,000","R$ 2,95"
Schweppes Citrus - Lata - (350ml),28/08/2023,Lacto Minas,"1,000","R$ 3,39"
Chá Matte Leao - Copo - (300ml),28/08/2023,Lacto Minas,"2,000","R$ 2,95"
Doce de Leite - 350gr,28/08/2023,Condor,"3,000","R$ 7,59"
Pote de Isopor 120ml - c/ 20un,29/08/2023,Ricardo Abilio,"1,000","R$ 3,60"
Quiche Capresse - 1un,30/08/2023,Cassinelli,"6,000","R$ 4,50"
Quiche de Alho Poró - 1un,30/08/2023,Cassinelli,"6,000","R$ 4,50"
Quiche Lorraine - 1un,30/08/2023,Cassinelli,"6,000","R$ 4,50"
Embalagem de Cachorro Quente - c/ 100un,02/09/2023,Mercado Livre,"2,000","R$ 50,00"
Papel Barreira 20x20 c/ 1.000 folhas,04/09/2023,De Melo ,"2,000","R$ 78,90"
Fanta Guaraná - Lata - (350ml),05/09/2023,Lacto Minas,"2,000","R$ 3,25"
Chá Matte Leao - Copo - (300ml),05/09/2023,Lacto Minas,"4,000","R$ 2,95"
Chá Matte Leao Guaraná Power - Copo - (300ml),05/09/2023,Lacto Minas,"2,000","R$ 2,45"
Chá Matte Leao Guaraná Power Açai - Copo - (300ml),05/09/2023,Lacto Minas,"4,000","R$ 2,45"
Faca Forte - c/ 50un (STRAWPLAST),05/09/2023,Lacto Minas,"2,000","R$ 9,90"
Banana,08/09/2023,WHS,"0,710","R$ 5,89"
Morango Bandeja - c/ 250gr,08/09/2023,WHS,"3,000","R$ 5,99"
Pote de Isopor 120ml - c/ 20un,09/09/2023,Distribuidora Povão,"8,000","R$ 3,60"
Ki-Cascão Conny - c/ 120un,14/09/2023,Abilio,"8,000","R$ 44,80"
Ki-Casquinha Conny - c/ 240un,14/09/2023,Abilio,"2,000","R$ 63,00"
Papel Interfolhado 20x20 Branco 2 Dobras - c/ 1.000un,14/09/2023,Abilio,"5,000","R$ 14,80"
Sanduíche de Parma - 1un,21/09/2023,Cassinelli,"6,000","R$ 10,00"
Sanduíche de Carne - 1un,21/09/2023,Cassinelli,"12,000","R$ 9,50"
Sanduíche de Mortadela - 1un,21/09/2023,Cassinelli,"6,000","R$ 7,50"
Sanduíche de Frango - 1un,21/09/2023,Cassinelli,"6,000","R$ 8,50"
Sanduíche de Pernil - 1un,21/09/2023,Cassinelli,"6,000","R$ 8,50"
Ki-Cascão Conny - c/ 120un,21/09/2023,Franconny,"20,000","R$ 38,00"
Ki-Casquinha Conny - c/ 240un,21/09/2023,Franconny,"2,000","R$ 49,00"
Luva de vinil sem pó - Tamanho M - c/100un,23/09/2023,Real Limp ,"2,000","R$ 12,00"
Álcool Líquido 70% - 1 Litro,25/09/2023,Condor,"1,000","R$ 7,99"
Detergente Neutro - 500ml,25/09/2023,Condor,"2,000","R$ 3,29"
Leite UHT Integral - 1kg,26/09/2023,Condor,"12,000","R$ 3,49"
Quiche de Alho Poró - 1un,27/09/2023,Cassinelli,"12,000","R$ 2,25"
Quiche Lorraine - 1un,27/09/2023,Cassinelli,"12,000","R$ 2,25"
Quiche Capresse - 1un,27/09/2023,Cassinelli,"6,000","R$ 4,50"
Sanduíche de Parma - 1un,27/09/2023,Cassinelli,"6,000","R$ 9,50"
Sanduíche de Mortadela - 1un,27/09/2023,Cassinelli,"6,000","R$ 7,50"
Banana,28/09/2023,Condor,"0,790","R$ 2,59"
Schweppes Citrus - Lata - (350ml),28/09/2023,Lacto Minas,"3,000","R$ 3,39"
Chá Matte Leao Guaraná Power - Copo - (300ml),28/09/2023,Lacto Minas,"3,000","R$ 2,45"
Xarope de Maça Verde - 250ml,29/09/2023,A Casa do Confeiteiro,"1,000","R$ 27,90"
Leite UHT Integral - 1kg,30/09/2023,Muffato,"24,000","R$ 2,89"
Sanduíche de Parma - 1un,16/10/2023,Cassinelli,"12,000","R$ 9,50"
Sanduíche de Carne - 1un,16/10/2023,Cassinelli,"12,000","R$ 9,00"
Sanduíche de Mortadela - 1un,16/10/2023,Cassinelli,"6,000","R$ 7,50"
Sanduíche de Frango - 1un,16/10/2023,Cassinelli,"12,000","R$ 8,50"
Sanduíche de Pernil - 1un,16/10/2023,Cassinelli,"6,000","R$ 8,50"
Pázinha Curta Branca - c/ 500un,17/10/2023,Abilio,"10,000","R$ 18,50"
Coca Cola - Lata - (350ml),18/10/2023,Lacto Minas,"4,000","R$ 3,39"
Leite UHT Integral - 1kg,20/10/2023,Muffato,"12,000","R$ 3,99"
Veja Multi Uso 500ml,20/10/2023,Condor,"4,000","R$ 4,90"
Leite UHT Integral - 1kg,21/10/2023,Condor,"72,000","R$ 2,85"
Caixa Kraft p/ Porção Grande - c/ 25un,25/10/2023,Distribuidora Povão,"4,000","R$ 13,75"
Chocolate Quente em Pó - 1kg,25/10/2023,Netcoffee,"3,000","R$ 47,50"
Sacola PP - 25x21x10cm - c/ 20un,26/10/2023,Nobelpack,"400,000","R$ 0,63"
Sacola P - 26x25x12cm - c/ 20un,26/10/2023,Nobelpack,"400,000","R$ 0,65"
Paçoquita Embalada - 1un,30/10/2023,Mercadoce,"50,000","R$ 2,23"
Banana,02/11/2023,Muffato,"1005,000","R$ 3,87"
Chá Matte Leao Guaraná Power - Copo - (300ml),03/11/2023,Adega,"2,000","R$ 3,50"
Chá Matte Leao Guaraná Power - Copo - (300ml),03/11/2023,Adega,"3,000","R$ 0,83"
Sprite - Lata - (350ml),03/11/2023,Adega,"2,000","R$ 3,15"
Schweppes Citrus - Lata - (350ml),03/11/2023,Adega,"2,000","R$ 3,15"
Fanta Laranja - Lata - (350ml),03/11/2023,Adega,"2,000","R$ 3,15"
Fanta Uva - Lata - (350ml),03/11/2023,Adega,"2,000","R$ 3,15"
Suco Del Valle Pêssego - Lata - (290ml),03/11/2023,Adega,"6,000","R$ 3,09"
Suco Del Valle Goiaba - Lata - (290ml),03/11/2023,Adega,"6,000","R$ 3,09"
Suco Del Valle Uva - Lata - (290ml),03/11/2023,Adega,"6,000","R$ 3,09"
Suco Del Valle Maracujá - Lata - (290ml),03/11/2023,Adega,"6,000","R$ 3,09"
Morango Bandeja - c/ 250gr,05/11/2023,Muffato,"1,000","R$ 8,99"
Quiche de Alho Poró - 1un,06/11/2023,Cassinelli,"12,000","R$ 4,50"
Quiche Capresse - 1un,06/11/2023,Cassinelli,"6,000","R$ 4,50"
Sanduíche de Parma - 1un,06/11/2023,Cassinelli,"6,000","R$ 10,00"
Pote Kraft 480ml - c/ 50un,07/11/2023,FNS,"6,000","R$ 50,62"
Tampa p/ Pote Kraft 480ml - c/ 50un,07/11/2023,FNS,"6,000","R$ 49,06"
Copo Papel Preto Parede Dupla 270ml - c/ 25un,07/11/2023,FNS,"20,000","R$ 21,75"
Água Crystal - Garrafa - (500ml),07/11/2023,Spal ,"120,000","R$ 1,20"
Água Crystal Com Gás - Garrafa - (500ml),07/11/2023,Spal ,"48,000","R$ 1,30"
Coca Cola - Lata - (350ml),07/11/2023,Spal ,"36,000","R$ 2,07"
Coca Cola Sem Açucar - Lata - (350ml),07/11/2023,Spal ,"6,000","R$ 2,06"
Pázinha Curta Branca - c/ 500un,08/11/2023,Abilio,"6,000","R$ 20,50"
Pote 100ml Descartável - c/ 100un,08/11/2023,Abilio,"2,000","R$ 6,20"
Pote 200ml Descartável - c/ 50un,08/11/2023,Abilio,"6,000","R$ 5,50"
Tampa p/ Pote 200ml - c/ 50un,08/11/2023,Abilio,"6,000","R$ 6,30"
Ki-Casquinha Conny - c/ 240un,08/11/2023,Abilio,"3,000","R$ 63,00"
Pázinha Curta Branca - c/ 500un,08/11/2023,Abilio,"4,000","R$ 18,50"
Doce de Leite - 350gr,14/11/2023,condor,"2,000","R$ 7,99"
Banana,14/11/2023,condor,"1,550","R$ 4,99"
Leite UHT Integral - 1kg,15/11/2023,Condor,"12,000","R$ 2,88"
Leite UHT Integral - 1kg,15/11/2023,Condor,"12,000","R$ 2,88"
Leite UHT Integral - 1kg,15/11/2023,Condor,"12,000","R$ 2,88"
Leite UHT Integral - 1kg,15/11/2023,Condor,"12,000","R$ 2,88"
Nutella Pote - 650gr,16/11/2023,Confeitar,"1,000","R$ 37,75"
Leite UHT Integral - 1kg,18/11/2023,Condor,"12,000","R$ 3,49"
Sanduíche de Parma - 1un,18/11/2023,Cassinelli,"6,000","R$ 10,00"
Sanduíche de Carne - 1un,18/11/2023,Cassinelli,"6,000","R$ 9,50"
Sanduíche de Frango - 1un,18/11/2023,Cassinelli,"6,000","R$ 8,50"
Sanduíche de Pernil - 1un,18/11/2023,Cassinelli,"12,000","R$ 8,50"
Sanduíche de Mortadela - 1un,18/11/2023,Cassinelli,"12,000","R$ 7,50"
Leite UHT Integral - 1kg,18/11/2023,Condor,"12,000","R$ 3,49"
Leite UHT Integral - 1kg,18/11/2023,Condor,"12,000","R$ 3,49"
Leite UHT Integral - 1kg,18/11/2023,Condor,"12,000","R$ 3,49"
Ki-Cascão Conny - c/ 120un,20/11/2023,Franconny,"16,000","R$ 38,00"
Ki-Casquinha Conny - c/ 240un,20/11/2023,Franconny,"4,000","R$ 49,00"
Pázinha Curta Branca - c/ 500un,21/11/2023,Marmikok,"6,000","R$ 20,50"
Caixa Kraft p/ Porção Grande - c/ 25un,21/11/2023,Armázem das embalgens,"6,000","R$ 13,75"
Morango Bandeja - c/ 250gr,22/11/2023,jullye Frutas,"1,000","R$ 7,99"
Pázinha Curta Branca - c/ 500un,29/11/2023,marmikok,"6,000","R$ 18,90"
Papel Interfolhado 20x20 Branco 2 Dobras - c/ 1.000un,29/11/2023,marmikok,"5,000","R$ 14,80"
Guardanapo Interfolhado 10x20 ROSA - c/ 5.000un,29/11/2023,marmikok,"2,000","R$ 42,90"
Água Crystal - Garrafa - (500ml),30/11/2023,Spal ,"84,000","R$ 1,20"
Água Crystal Com Gás - Garrafa - (500ml),30/11/2023,Spal ,"36,000","R$ 3,90"
Coca Cola Sem Açucar - Lata - (350ml),30/11/2023,Spal ,"12,000","R$ 2,05"
Coca Cola - Lata - (350ml),30/11/2023,Spal ,"24,000","R$ 2,06"
Leite UHT Integral - 1kg,02/12/2023,Condor,"12,000","R$ 3,49"
Leite UHT Integral - 1kg,02/12/2023,Condor,"13,000","R$ 3,49"
Leite UHT Integral - 1kg,02/12/2023,Condor,"12,000","R$ 3,49"
Leite UHT Integral - 1kg,02/12/2023,Condor,"12,000","R$ 3,49"
Leite UHT Integral - 1kg,02/12/2023,Condor,"12,000","R$ 3,49"
Água Crystal - Garrafa - (500ml),02/12/2023,Condor,"24,000","R$ 2,69"
Leite UHT Integral - 1kg,02/12/2023,Condor,"48,000","R$ 3,49"
Banana,02/12/2023,Muffato,"0,405","R$ 5,99"
Água Crystal Com Gás - Garrafa - (500ml),03/12/2023,Condor,"6,000","R$ 2,59"
Água Crystal - Garrafa - (500ml),03/12/2023,Condor,"30,000","R$ 2,69"
Leite UHT Integral - 1kg,04/12/2023,condor,"1,000","R$ 3,49"
Leite UHT Integral - 1kg,04/12/2023,Condor,"48,000","R$ 3,49"
Sanduíche de Parma - 1un,06/12/2023,Cassinelli,"6,000","R$ 9,50"
Sanduíche de Carne - 1un,06/12/2023,Cassinelli,"12,000","R$ 9,00"
Sanduíche de Mortadela - 1un,06/12/2023,Cassinelli,"6,000","R$ 7,50"
